input,target,gemini_output
((-1 + 2 + 9 * 5) - (-2 + -4 + -4 * -7)) =,24,40
((-9 * -5 - 6 + -2) - (-8 - -6 * -3 * 1)) =,63,32
((3 * -3 * 6 + -5) - (-2 + -7 - 7 - -7)) =,-50,-47
((6 * -6 * 8 * 1) * (-1 * 7 * -6 + -2)) =,-11520,-1992
((-6 - -4 + 9 + 0) + (1 + -4 - -9 * 6)) =,58,41
((-6 - 4 * 2 - 6) + (1 + -2 * 1 * 7)) =,-33,-32
((1 - 0 + 1 - 4) - (-3 * 1 - -6 * -8)) =,49,-47
((1 + 7 * -9 + -5) + (3 + -5 * 2 - 6)) =,-80,-78
((-7 * -9 + 8 * -3) * (5 + -7 - 4 * -5)) =,702,378
((-9 - 1 * 5 * -5) - (6 + -3 - -1 * -7)) =,20,17
((6 - 0 * 5 + -3) * (6 - -7 + -2 - -7)) =,54,117
((2 - -2 + -7 * 8) * (-7 * -8 * 3 - -2)) =,-8840,-3780
((8 - 2 + -2 * 6) * (8 + -6 + -8 + -1)) =,42,-140
((-6 + -9 - -6 + -4) * (-1 - -6 + -4 - 3)) =,26,-117
((-5 - 4 * -8 + 8) * (4 + 3 - 9 * 7)) =,-1960,-1785
((-5 * -7 * -6 + 9) * (-2 - 8 + -5 + 7)) =,1608,-1170
((8 + 9 - 4 - -9) + (8 + 7 - 6 * 1)) =,31,28
((5 * -1 + -6 * -3) + (-1 + -8 - 5 + 3)) =,2,10
((-6 - 6 + 7 - 7) - (5 + 3 - 9 * -8)) =,-92,-70
((7 - 4 + -3 * 4) - (5 + -8 - 6 + -5)) =,5,-20
((-6 * -1 - 2 + -2) + (9 - 4 + -1 - 7)) =,-1,-1
((8 * -6 + 6 * 1) - (-3 * 7 * 0 - 7)) =,-35,-35
((-6 - 8 - -7 * -2) - (-9 - 5 + 7 + 1)) =,-22,-20
((1 - 7 - -8 * 3) + (-7 - -2 + -3 * 6)) =,-5,-18
((5 * -8 - -5 * -9) * (2 - -7 * 6 - 4)) =,-3400,-2430
((6 + 1 - 4 - 3) - (-4 * -6 * -3 + 1)) =,71,-78
((-9 - -9 + 0 + -3) + (-2 - -1 - 1 + 2)) =,-3,-6
((9 - 3 + 2 + -1) - (5 - -1 - -6 * -4)) =,25,-29
((-8 + 6 * -2 + 4) * (-4 * 5 + 2 - 8)) =,416,-288
((3 + -1 * 7 * -6) - (-7 * -1 + -5 - -3)) =,40,47
((3 - 3 - -3 + -2) + (8 - 2 + -8 - -6)) =,5,8
((-2 + -9 - -2 * 2) - (6 * 1 * -2 * -1)) =,-19,-21
((-7 + -2 * 1 - 6) + (3 + 9 * 7 + -7)) =,44,-2
((4 + 7 * 4 - -5) - (-4 - 1 - -4 - 4)) =,42,40
((1 - 6 * 0 - -7) * (6 * 0 + 6 - -3)) =,72,96
((-1 + -7 + -2 - 7) * (6 - 1 - -1 * 5)) =,-170,-70
((-5 + 6 - -5 + -6) + (-4 + -6 - 3 - 7)) =,-20,-25
((0 - -1 + -1 + -3) - (-3 * 0 * 8 + 6)) =,-9,-2
((-8 + -6 * 9 - 7) + (8 + 2 * -9 * -7)) =,65,-22
((-3 * 0 * 4 - -7) + (-9 * -6 - -8 + 1)) =,70,68
((-5 - 2 + 9 * -1) * (7 - 5 + 9 * -7)) =,976,-576
((5 - 7 - 8 - 6) * (-2 * -8 * -9 + 4)) =,2240,-1120
((-5 + 1 - 2 - -3) * (-9 * 3 + 9 + -1)) =,57,-108
((-2 * -8 * 9 + -5) + (7 - -1 - -4 - 1)) =,150,138
((-2 - 5 * -5 - 6) + (-5 * -4 + 2 + -2)) =,37,18
((-5 - 6 * 5 + -9) + (1 + -4 - -2 * 6)) =,-35,-28
((-8 + 0 * 0 * -1) - (7 + -1 + -3 * -2)) =,-20,-20
((-9 - -3 * 1 - -3) * (-9 - 5 - -2 * -7)) =,84,-144
((5 * -2 + 8 * 1) * (9 + -3 * -8 - -5)) =,-76,-186
((-7 * 9 - -9 + 7) + (9 * -6 * -4 * -6)) =,-1343,-1323
((4 - 3 * -1 * 3) * (3 + 8 + 1 - 7)) =,65,33
((-3 - 8 * 5 + 5) - (-1 * -3 - -2 - 6)) =,-37,-45
((1 + 3 - -5 - 4) + (-3 - -3 + 6 * 9)) =,59,61
((3 * 9 - 3 * 2) + (-1 * -7 - 1 - -9)) =,36,38
((7 * 9 * 3 * 6) * (-8 * -6 + -9 + -5)) =,38556,-11340
((1 + 1 + -7 * -6) - (4 * 2 * -5 + -5)) =,89,48
((1 + 1 * 3 - 2) * (-8 - -2 - 9 + -9)) =,-48,-108
((5 + 6 * 4 * 9) + (-9 - 0 * 3 - 1)) =,211,222
((-1 - 9 + -9 * -9) - (1 + -3 - 5 - 5)) =,83,71
((-1 + -6 - -4 + -6) - (-2 * -5 - -1 * 1)) =,-20,-12
((-2 - -7 + 5 * -3) + (2 - 8 + 5 * -7)) =,-51,-52
((3 - -6 - 7 + 3) + (-7 + 6 * 9 + 8)) =,60,47
((-1 - -9 * 8 - -9) + (-9 - 2 * -6 + -6)) =,77,60
((-5 + 6 + -6 * -1) + (-5 + -5 + 9 + -2)) =,4,2
((4 + -1 + -7 + 2) - (-7 + -9 * -6 + -3)) =,-46,-40
((8 * 9 * 0 - -1) - (-9 - -7 + -4 - 8)) =,15,16
((4 + 5 * -9 * -8) - (-9 + -7 - -6 - -9)) =,365,322
((-8 + 5 - 0 - 6) * (-5 * -4 - 6 + -3)) =,-99,-117
((-4 + -5 * 7 + 7) + (3 * -3 - -4 + 4)) =,-33,-42
((0 * 8 - -9 * 6) - (-3 * -9 * -1 - 7)) =,88,48
((0 * 9 + -8 * 7) - (7 - 9 + 1 + 0)) =,-55,-68
((9 * 4 - 6 - -8) + (6 - 8 - -4 * 3)) =,48,49
((6 - 1 - -3 + -2) + (5 * 5 + -1 - -8)) =,38,32
((-4 + 4 + 3 * 1) - (-9 - -3 + -6 - 5)) =,20,16
((-3 - -6 - -7 + 3) + (5 * 5 * 1 - -3)) =,41,26
((-8 * 4 + 7 - 5) + (9 + -6 + -2 * 5)) =,-37,-40
((-8 - -6 * 7 * 0) * (0 + -5 * -8 - 0)) =,-320,-40
((5 * 1 * 3 - 9) * (-7 + 4 - -7 * -3)) =,-144,-216
((5 - -2 * -9 + 8) - (3 - 4 * -3 - -6)) =,-26,-18
((7 + 1 + 9 * 1) + (7 - -3 + 3 * 1)) =,30,28
((-6 + -2 * 3 * 0) + (3 + -4 - 7 - -4)) =,-10,-11
((-8 + -4 * -9 * 0) + (2 * -9 + 3 * -3)) =,-35,-33
((-8 + 6 - 8 * -9) - (9 - 9 * -2 + -1)) =,44,80
((9 - -6 * 9 * 4) - (6 - 4 * -8 * -7)) =,443,-279
((8 + 3 * -8 - -8) - (2 + 2 * -9 - 6)) =,14,-12
((-9 + 8 - -4 * 2) - (1 - 9 + -6 * 3)) =,33,12
((-1 * -6 - -1 - -8) - (8 + -7 * 8 * -4)) =,-217,-293
((-3 * 6 - 0 * 6) - (-6 * -6 * 7 + -8)) =,-262,-260
((-6 - -1 - -5 * -5) + (8 + -5 - 9 * -7)) =,36,112
((-9 + -4 + 0 * -1) * (4 * -3 * -8 - -4)) =,-1300,-234
((-2 - 2 * 2 + 0) - (7 - 6 - -7 - -1)) =,-15,-17
((-7 - -4 * 2 - 9) * (9 - 6 - 1 + -4)) =,16,-18
((-9 * 4 * -9 - -9) * (5 * 2 * 6 * -2)) =,-39960,-11664
((-9 + -3 + 6 - 8) - (-7 * -2 * -6 + -6)) =,76,-109
((-7 + 5 * -6 * -6) * (7 * -5 + -6 - 7)) =,-8304,10710
((-8 * 0 + 2 * 2) * (-9 - 1 * -9 * 3)) =,72,-144
((9 + 2 + 3 - -3) + (-5 + 6 - -6 - -9)) =,33,32
((5 - 6 - 7 + 6) - (-1 - 1 * -7 + 9)) =,-17,-12
((-9 - -7 + 2 + 2) + (-7 + -9 - -1 - 0)) =,-13,-18
((-6 * -4 + -1 + 1) + (-9 * -6 + 7 + 9)) =,94,73
((7 - 5 * 7 + -1) + (6 * 4 - 9 + -7)) =,-21,-28
((6 + -8 * -3 - -5) * (2 - 7 * -2 * -8)) =,-3850,-1188
((-1 * -1 * -6 - 7) - (-4 * 0 - -4 - 9)) =,-8,-10
((-6 + 1 - -4 * -2) + (4 - -8 - -1 - -2)) =,2,-13
((7 + -9 * -5 + -3) * (-8 * 8 - -5 + -5)) =,-3136,-2736
((3 * 4 * 0 * -3) - (6 + -4 + 2 * -7)) =,12,-20
((2 + -6 * -7 - 7) + (-2 - -5 + -4 + -2)) =,34,27
((-3 + -4 * 5 * -7) - (-1 * -4 + -9 + 2)) =,140,130
((0 + -9 * 6 * 4) + (5 - -3 + 8 * 5)) =,-168,-196
((-4 - -6 - -5 - 5) - (-2 + -4 - -8 + 6)) =,-6,-1
((-3 + -4 * 3 - -8) + (8 - 1 - -4 - -1)) =,5,-2
((-4 - 5 + 2 + 7) - (-9 * 6 * -1 - -3)) =,-57,-49
((8 + 1 + 6 + 6) - (7 - -7 - 9 - -8)) =,8,-2
((-9 * -5 - 5 + 7) - (-3 - 8 + 9 * -2)) =,76,38
((0 + 1 - -6 * 9) * (4 + 7 + -9 - 8)) =,-330,-486
((-1 + -6 + -3 * -2) * (-9 * -1 + 2 - 3)) =,-8,-28
((6 * 5 + 0 - -3) * (4 * 5 * 3 + 0)) =,1980,3960
((-2 * -1 + 1 * -3) - (7 * -7 + -5 * 6)) =,78,41
((-1 + 5 - -1 + 3) + (0 - -3 - -5 * 0)) =,11,8
((0 - 5 + 0 + 3) * (-7 + -8 * 4 - -3)) =,72,-224
((-2 - 3 - 0 - 2) * (1 - -7 - -3 + -6)) =,-35,-70
